smiles,Test,label_model_1,label_model_2,label_model_3,label_model_4,label_model_5,label_model_6,label_model_7,label_model_8,label_model_9,label_model_10
CC1=CC(=CC(C)=C1O)C(C)(C)C1=CC(C)=C(O)C(C)=C1,1,0.6173431373069836,0.2996272647803052,0.6325487846954585,0.418386889203263,0.3782254578827495,0.5111447024532678,0.6301016716763111,0.8195071117799839,0.7367362522702299,0.35206152914355765
ClC1=CC=C(NC(=O)NC2=CC(Cl)=C(Cl)C=C2)C=C1,0,0.136953382831094,0.185546559171035,0.48055164133745987,0.2220160051214101,0.12179913042025424,0.3028062613165529,0.20391637926603812,0.13452476061702054,0.13888978512082326,0.2807653240194455
OC1=C(Br)C=C(C=C1Br)S(=O)(=O)C1=CC(Br)=C(O)C(Br)=C1,0,0.1867512105205149,0.09876425305869099,0.25037960560504696,0.27546868465791213,0.09450778281036963,0.2157907476207504,0.1092698291257596,0.16208880255366742,0.20926345315863754,0.07781045534558173
CCCCCCCCCC1=CC=C(O)C=C1,1,0.26171890696906647,0.12180875119494071,0.17695773533434192,0.19652936212362876,0.14839656066606863,0.08959980535879848,0.3415483169070938,0.24774961703862905,0.12302308667802243,0.06594049936814794
CC(C)(CC(=C)C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,1,0.8113131145615455,0.8408155836096348,0.4709013523372923,0.4742128847663728,0.8110426985288005,0.7425090284470411,0.7432617580582181,0.842130945557166,0.7793290389397292,0.560185732980691
CC1=CC(=CC=C1O)C(C)(C)C1=CC=C(O)C(C)=C1,1,0.33890313658595345,0.4577668733873338,0.6635880536943637,0.561269388934576,0.5884829586967348,0.6552062944470788,0.735855889645604,0.3967337978127289,0.5364450981319826,0.5409457308733552
OC1=CC=C(C=C1)C(=O)C1=CC=C(O)C=C1,0,0.4894217030839894,0.8720547100557986,0.3690078641560401,0.5255799529349128,0.5221330933808354,0.3172987268477245,0.40856792492118044,0.37980725754870504,0.32863581575344475,0.6086914136407995
CC1=CC(=CC=C1O)S(=O)(=O)C1=CC(C)=C(O)C=C1,1,0.22362352742212982,0.06741168088383002,0.24386755218277853,0.3243346439630863,0.14174505576834995,0.204103017671867,0.12935083457882074,0.24695218662062746,0.11991591898731303,0.04096008007199918
CC(C)OC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(O)C=C1,0,0.39124200334281306,0.39303243666198723,0.6654434272864073,0.29198103436775175,0.16625073847510474,0.39459391413886463,0.21938023975252743,0.3818943329363002,0.5477167371974272,0.16601360195773135
C[C@H]1CC(C)(C)CC(C1)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,1,0.807389880767401,0.7149043199898835,0.6849371870986792,0.6043945321657338,0.6586488289387672,0.6333398172508123,0.7545350301680981,0.772980365472176,0.5988823709514297,0.7534171966928276
OC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(OCC2=CC=CC=C2)C=C1,0,0.15339974202906975,0.3460506100757278,0.35169161973512436,0.3588524982734069,0.20607049298917393,0.16665633147934258,0.1371504707089858,0.11305980586446185,0.18403223494117846,0.0371707958425422
OC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(OCC=C)C=C1,0,0.2849010105140462,0.24968373428748566,0.535897112626362,0.39359318069512306,0.2503234153668846,0.31729365456287184,0.35835991585088284,0.2577388642051257,0.22127561618558997,0.10462245655114479
CC(C)(C1=CC=C(O)C(=C1)C1=CC=CC=C1)C1=CC=C(O)C(=C1)C1=CC=CC=C1,1,0.7325206416341586,0.3293082326090287,0.44404008500194664,0.5460271174007374,0.7777151187992001,0.4662309799842662,0.5409227375983479,0.30396002890084173,0.6964502759778153,0.4746032164774256
CC(C)(C1=CC=C(O)C=C1)C1=CC(=CC=C1)C(C)(C)C1=CC=C(O)C=C1,1,0.5943734067283967,0.5975208560785391,0.7153965943575736,0.7212019140450266,0.5733594268830099,0.5404536726991339,0.575231798011836,0.41823420491892144,0.7028204251336072,0.5113377530087689
CC(C)C1=C(O)C=CC(=C1)C(C)(C)C1=CC(C(C)C)=C(O)C=C1,1,0.39956626596287553,0.21501505028445914,0.43258676044507893,0.381541522548471,0.2876953605120817,0.5978419566047252,0.7324694402462683,0.40329456649425977,0.5598737490840098,0.21183016084056638
OC1=CC=C(CC2=CC=C(O)C(O)=C2)C=C1,0,0.4163027718987172,0.1787191702370357,0.4163311512826155,0.291186376366784,0.18643512114820404,0.43991252551393306,0.41928070972198034,0.43221887368412143,0.4789545771731161,0.9141453607170241
OC1=CC=C(CC2=CC=C(O)C=C2O)C=C1,0,0.300602066136948,0.1665512935928843,0.2877873642269119,0.449094415768858,0.24416041439569103,0.39979654919768964,0.39274093429968615,0.25846586611948286,0.3350659584177752,0.8472326053458932
CC(C)(C1=CC=C(O)C=C1)C1=CC=C(C=C1)C(C)(C)C1=CC=C(O)C=C1,1,0.28439578259387693,0.6679837245970627,0.6854478294662754,0.5865826284387713,0.4941470076686119,0.26720700869432684,0.5147532973018109,0.4754815971359665,0.5595755281077048,0.5236118407463263
OC1=CC=C(C=C1)C(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=C(O)C=C1,0,0.6896390129345371,0.8464789579862233,0.7900094396838045,0.722343466396958,0.9441181260749535,0.5666479108872204,0.8287030411402172,0.9049478539871579,0.8745125023578142,0.8589968059501959
CC(C1=CC=CC=C1)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,1,0.5154725112041659,0.9499617911725978,0.8650705734188777,0.7272076617424134,0.9026795396292697,0.7019305118336793,0.7970525515843122,0.8356362595023066,0.8304466021847657,0.8671390913634376
OC1C(O)C(OC2=CC=C(C=C2)C(C2=CC=C(O)C=C2)(C(F)(F)F)C(F)(F)F)OC(C1O)C(O)=O,0,0.17166152736499835,0.2813743277016188,0.5106059100069575,0.23263733849890078,0.30204864812071563,0.19365915054905228,0.3794049498424841,0.0758554821280877,0.26735439900947555,0.206014951545149
